"2020년 09월 08일 13시","○","인천","미추홀구","현대유비스병원","인천광역시 남구 숭의동 독배로 503","08:30 ~ 17:30","08:30 ~ 12:30","미운영","032-890-5509",37.4615,126.643
"2020년 09월 08일 13시","○","인천","동구","인천광역시동구보건소","인천 동구 만석동 18-3 인천광역시동구보건소_1동","09:00 ~ 21:00","09:00 ~ 18:00","09:00 ~ 18:00","032-770-5700",37.4833,126.626
"2020년 09월 08일 13시","○","인천","동구","인천백병원","인천 동구 샛골로214","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","1800-7070",37.4765,126.644
"2020년 09월 08일 13시","○","인천","서구","인천광역시서구보건소","인천 서구 심곡동(연희동) 246-1 서구보건소 39","09:00 ~ 21:00","09:00 ~ 21:00","09:00 ~ 21:00","032-560-5000",37.5444,126.674
"2020년 09월 08일 13시","○","인천","서구","국제성모병원","서구 심곡로100번길 23","0:0 ~ 24:00","0:0 ~ 24:00","0:0 ~ 24:0","032-290-2781",37.5425,126.684
"2020년 09월 08일 13시","○","인천","서구","검단탑병원","서구 청마로19번길 5","0:0 ~ 24:00","0:0 ~ 24:00","0:0 ~ 24:0","032-590-0119",37.5925,126.671
"2020년 09월 08일 13시","○","인천","서구","나은병원","서구 원적로 23","0:0 ~ 24:00","0:0 ~ 24:00","0:0 ~ 24:0","032-584-4119",37.489,126.68
"2020년 09월 08일 13시","○","인천","서구","성민병원","서구 신석로 70","0:0 ~ 24:00","0:0 ~ 24:00","0:0 ~ 24:0","032-726-1119",37.5091,126.67
"2020년 09월 08일 13시","○","인천","서구","온누리병원","서구 완정로 199","0:0 ~ 24:00","0:0 ~ 24:00","0:0 ~ 24:0","032-568-9111",37.6028,126.654
"2020년 09월 08일 13시","○","인천","중구","인천광역시중구보건소","인천 중구 전동 2-1","10:00 ~ 18:00","14:00 ~ 18:00","14:00 ~ 18:00","032-760-6050",37.4772,126.629
"2020년 09월 08일 13시","○","인천","중구","인천기독병원","인천 중구 답동로 30번길 10","08:30 ~ 17:30","미운영","미운영","032-270-8300",37.4713,126.632
"2020년 09월 08일 13시","○","인천","중구","영종 국제도시보건과","인천 중구 운남서로 100-1","10:00 ~ 18:00","14:00 ~ 18:00","미운영","032-760-6888",37.4939,126.531
"2020년 09월 08일 13시","○","광주","광산구","광산구보건소","광주광역시 광산구 광산로29번길 15(송정동)","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","062-960-8771",35.1397,126.794
"2020년 09월 08일 13시","○","광주","광산구","첨단종합병원","광주광역시 광산구 첨단중앙로 170번길 59","09:00 ~ 09:00","09:00 ~ 09:00","09:00 ~ 09:00","062-601-8119",35.2209,126.845
"2020년 09월 08일 13시","○","광주","광산구","KS병원","광산구 왕버들로220","09:00 ~ 09:00","09:00 ~ 09:00","09:00 ~ 09:00","062-975-9119",35.1979,126.833
"2020년 09월 08일 13시","○","광주","남구","광주남구보건소","광주광역시 남구 봉선로 1","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","062-607-4344",35.1293,126.907
"2020년 09월 08일 13시","○","광주","남구","광주기독병원","광주광역시 남구 양림로 37","09:00 ~ 17:00","미운영","미운영","062-650-5119",35.1367,126.912
"2020년 09월 08일 13시","○","광주","동구","광주동구보건소","광주 동구 서석동 31번지 ","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","062-608-3312",35.1458,126.923
"2020년 09월 08일 13시","○","광주","북구","광주북구보건소","광주 북구 중흥2동 359번지","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","062-410-8112",35.1733,126.912
"2020년 09월 08일 13시","X","광주","북구","광주일곡병원","광주 북구 양일로 309","09:00 ~ 09:00","09:00 ~ 09:00","09:00 ~ 09:00","062-608-7119",35.2028,126.898
"2020년 09월 08일 13시","○","광주","서구","광주서구보건소","광주 서구 농성동(농성1동) 299 서구보건소","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","062-350-4148",35.1523,126.89
"2020년 09월 08일 13시","○","광주","서구","서광병원","금화로 59번길 6 (금호동)","09:00 ~ 17:00","09:00 ~ 12:00","미운영","062-600-8119(8161)",35.1326,126.855
"2020년 09월 08일 13시","○","대전","대덕구","대덕구보건소","대전 대덕구 석봉로 38번길 55","09:00 ~ 17:30","09:00 ~ 12:00","09:00 ~ 12:00","042-608-5431(~34)",36.4449,127.426
"2020년 09월 08일 13시","○","대전","대덕구","근로복지공단 대전병원","대덕구 계족로 637","08:30 ~ 12:30","미운영","미운영","042-670-5377",36.3683,127.429
"2020년 09월 08일 13시","○","대전","대덕구","대전보훈병원","대덕구 대청로 82번길 147","08:30 ~ 17:00","미운영","미운영","042-939-0118(0100)",36.4473,127.439
"2020년 09월 08일 13시","○","대전","동구","대전광역시 동구보건소","대전광역시 동구 가오동 425","09:00 ~ 17:00","09:00 ~ 14:00","09:00 ~ 14:00","042-251-6305",36.3119,127.455
"2020년 09월 08일 13시","○","대전","동구","대전한국병원","대전광역시 동구 동서대로 1672 ","09:00 ~ 16:00","09:00 ~ 11:00","미운영","042-606-1500",36.3482,127.436
"2020년 09월 08일 13시","○","대전","서구","대전광역시 서구보건소","대전 서구 만년동 340번지","09:00 ~ 17:30","09:00 ~ 12:00","09:00 ~ 12:00","042-288-4520",36.3671,127.381
"2020년 09월 08일 13시","○","대전","서구","을지대학교병원","대전 서구 둔산서로 95","08:30 ~ 17:30","08:30 ~ 12:30","미운영","1899-0001",36.3553,127.382
"2020년 09월 08일 13시","○","대전","서구","건양대학교병원","대전 서구 관저동로 158","08:30 ~ 17:30","08:30 ~ 12:30","미운영","1577-3330",36.2992,127.34
"2020년 09월 08일 13시","○","대전","중구","대전광역시 중구보건소","대전 중구 문화2동 785 중구보건소 ","09:00 ~ 17:00","09:00 ~ 12:00","09:00 ~ 12:00","042-288-8028",36.308,127.395
"2020년 09월 08일 13시","○","대전","중구","대전성모병원","대전광역시 중구 대흥로 64 가톨릭대학교대전성모병원","08:30 ~ 12:00","미운영","미운영","042-220-9817",36.3228,127.42
"2020년 09월 08일 13시","○","대전","중구","대전선병원","대전광역시 중구 목중로 29 대전선병원","08:30 ~ 17:30","미운영","미운영","042-220-8166",36.3361,127.411
"2020년 09월 08일 13시","○","대전","유성구","대전광역시 유성구보건소","대전 유성구 장대동(온천2동) 282-15 유성구보건소 유성구보건소","09:30 ~ 17:00","09:30 ~ 12:00","09:30 ~ 12:00","042-611-5000",36.3581,127.335
"2020년 09월 08일 13시","○","대전","유성구","유성선병원","북유성대로93","09:00 ~ 17:00","미운영","미운영","042-609-1120",36.3752,127.325
"2020년 09월 08일 13시","○","울산","남구","울산남구보건소","울산광역시 남구 삼산동 1538-4번지 울산남구보건소 (삼산동)","09:00 ~ 16:00","미운영","09:00 ~ 12:00","052-226-2805",35.5454,129.336
"2020년 09월 08일 13시","○","울산","남구","의료법인 정안의료재단 중앙병원","울산 남구 문수로 480번길 10","10:00 ~ 17:00","10:00 ~ 12:00","미운영","052-226-1303",35.5315,129.305
"2020년 09월 08일 13시","○","울산","남구","울산병원","울산 남구 월평로 171번길 13","09:00 ~ 17:00","09:00 ~ 12:00","미운영","052-259-5260",35.5462,129.323
"2020년 09월 08일 13시","○","울산","남구","좋은삼정병원","울산광역시 남구 삼호동 북부순환도로 51","10:00 ~ 16:30","미운영","미운영","052-220-7592",35.5528,129.269
"2020년 09월 08일 13시","○","울산","동구","울산동구보건소","울산 동구 화정동 222","09:00 ~ 16:00","미운영","미운영","052-209-4080",35.5051,129.417
"2020년 09월 08일 13시","○","울산","북구","울산북구보건소","울산 북구 연암동(효문동) 1082 보건소","9:00 ~ 16:00","미운영","09:00 ~ 12:00","052-289-3450",35.5836,129.361
"2020년 09월 08일 13시","○","울산","북구","울산시티병원","울산광역시 북구 산업로 1007","9:00 ~ 16:00","9:00 ~ 12:00","미운영","052-280-9119",35.5829,129.359
"2020년 09월 08일 13시","○","울산","중구","울산중구보건소","울산 중구 남외동  603-2","09:00 ~ 16:00","미운영","미운영","052-290-4300",35.5694,129.35
"2020년 09월 08일 13시","○","울산","중구","동강병원","울산광역시 중구 태화로 239","09:00 ~ 17:00","미운영","미운영","052-241-1119",35.5537,129.302
"2020년 09월 08일 13시","○","울산","울주군","울주군보건소","울산 울주군 삼남면 교동리 1605-1 울주군보건소","09:00 ~ 16:00","미운영","미운영","052-204-2798",35.5584,129.114
"2020년 09월 08일 13시","○","울산","울주군","서울산보람병원","울주군 삼남면 중평로 53","09:00 ~ 17:00","09:00 ~ 12:00","미운영","052-255-7114",35.5596,129.121
"2020년 09월 08일 13시","○","울산","울주군","KTX역 선별진료소","울주군 삼남면 신화리467","10:00 ~ 18:00","10:00 ~ 18:00","10:00 ~ 18:00","052-229-3562",35.5513,129.138
"2020년 09월 08일 13시","○","경기","가평군","가평군보건소","경기 가평군 가평읍 읍내3리 624-1 ","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-582-2488",37.8234,127.516
"2020년 09월 08일 13시","○","경기","가평군","HJ매그놀리아국제병원","경기도 가평군 설악면 미사리로 267-117 ","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-589-4300",37.6925,127.521
"2020년 09월 08일 13시","○","경기","고양시","고양시덕양구보건소","경기 고양시 덕양구 주교동 603 덕양구보건소","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-8075-4059",37.6577,126.831
"2020년 09월 08일 13시","○","경기","과천시","과천시보건소","경기 과천시 중앙동 과천시청 관문로 69 (중앙동)","09:00 ~ 18:00","09:00 ~ 12:00","09:00 ~ 12:00","02-2150-3832",37.4292,126.988
"2020년 09월 08일 13시","○","경기","광명시","광명시보건소","경기 광명시 하안1동 230-1 오리로613","09:00 ~ 18:00","미운영","10:00 ~ 14:00","02-2680-2577",37.4565,126.879
"2020년 09월 08일 13시","○","경기","광명시","광명성애병원","경기도 광명시 디지털로 36","09:00 ~ 17:30","09:00 ~ 12:00","미운영","02-2680-7119",37.4732,126.872
"2020년 09월 08일 13시","○","경기","광주시","광주시보건소","경기 광주시 경안동 115","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","031-760-2110",37.4164,127.251
"2020년 09월 08일 13시","○","경기","광주시","참조은병원","광주대로 45","09:00 ~ 22:00","09:00 ~ 22:00","09:00 ~ 22:00","031-767-7575",37.4109,127.26
"2020년 09월 08일 13시","○","경기","구리시","구리시보건소","경기 구리시 인창동 674-3","9:00 ~ 18:00","14:00 ~ 18:00","미운영","031-550-8432",37.6046,127.145
"2020년 09월 08일 13시","○","경기","구리시","한양대구리병원","경기도 구리시 경춘로 153","9:00 ~ 17:30","9:00 ~ 12:30","24:00 ~ 24:00","1644-9118",37.6012,127.132
"2020년 09월 08일 13시","○","경기","군포시","군포시보건소","경기 군포시 부곡동 770-1 (군포로221)","09:00 ~ 17:30","09:00 ~ 12:00","미운영","031-3908972",37.3331,126.926
"2020년 09월 08일 13시","○","경기","군포시","원광대학교의과대학 산본병원","경기도 군포시 산본로 321","09:00 ~ 12:00","미운영","미운영","031-390-2345",37.3594,126.934
"2020년 09월 08일 13시","○","경기","군포시","효산의료재단법인 지샘병원","경기도 군포시 군포로 591","09:00 ~ 17:00","미운영","미운영","031-389-3119",37.3587,126.947
"2020년 09월 08일 13시","○","경기","기흥구","기흥구보건소","경기도 용인시 기흥구 신갈동 60-3","09:00 ~ 17:00","09:00 ~ 17:00","09:00 ~ 17:00","031-324-6975",37.2726,127.106
"2020년 09월 08일 13시","○","경기","용인시","강남병원","경기도 용인시 기흥구 용구대로 411","09:00 ~ 17:00","09:00 ~ 12:00","미운영","031-300-0119",37.2816,127.106
"2020년 09월 08일 13시","○","경기","용인시","용인세브란스병원","용인시 기흥구 동백죽전대로363","09:00 ~ 17:00","09:00 ~ 12:00","미운영","031-5189-9010",37.2721,127.152
"2020년 09월 08일 13시","○","경기","김포시","김포시보건소","경기 김포시 사우동 김포보건소 ","09:00 ~ 17:40","09:00 ~ 17:40","09:00 ~ 12:40","031-5186-4051",37.6237,126.723
"2020년 09월 08일 13시","○","경기","김포시","김포우리병원","경기도 김포시 감암로 11","09:00 ~ 17:00","09:00 ~ 12:30","09:00 ~ 09:00","031-999-1119",37.6323,126.711
"2020년 09월 08일 13시","○","경기","김포시","뉴고려병원","경기도 김포시 김포한강3로 283","09:00 ~ 17:00","미운영","미운영","031-980-9114(408)",37.6409,126.66
"2020년 09월 08일 13시","○","경기","김포시","히즈메디병원","김포시 김포대로 681 ","08:00 ~ 21:00","08:30 ~ 17:00","08:30 ~ 17:00","1588-0223",37.6112,126.735
"2020년 09월 08일 13시","○","경기","남양주시","남양주보건소","경기 남양주시 다산동(다산2동) 3159-7 남양주시청제2청사 1~2층","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-590-4454",37.6075,127.169
"2020년 09월 08일 13시","○","경기","남양주시","남양주보건소 동부보건센터","경기 남양주시 화도읍 비룡로59","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-590-8515",37.6578,127.301
"2020년 09월 08일 13시","○","경기","동두천시","동두천시보건소","경기 동두천시 생연2동 714-9 동두천시보건소 ","09:00 ~ 17:30","미운영","미운영","031-860-3425",37.8966,127.052
"2020년 09월 08일 13시","○","경기","안양시","안양시 만안구보건소","경기 안양시 만안구 안양동(안양6동) 532-1","09:00 ~ 12:00","09:00 ~ 12:00","미운영","031-8045-3472",37.3859,126.933
"2020년 09월 08일 13시","○","경기","안양시","샘안양병원","경기도 안양시 만안구 삼덕로 9","10:00 ~ 16:00","미운영","미운영","031-467-9119",37.3935,126.925
"2020년 09월 08일 13시","○","경기","성남시","성남시분당구보건소","경기 성남시 분당구 야탑동(야탑1동) 349 분당보건소","09:00 ~ 17:30","09:00 ~ 11:30","09:00 ~ 11:30","031-729-3990",37.411,127.125
"2020년 09월 08일 13시","○","경기","성남시","분당차병원","경기도 성남시 분당구 야탑로 59(야탑동)","09:00 ~ 17:00","09:00 ~ 12:00","미운영","031-780-5546",37.4103,127.125
"2020년 09월 08일 13시","○","경기","성남시","분당제생병원","경기도 성남시 분당구서현로180번길20(서현동)","09:00 ~ 17:00","09:00 ~ 12:00","미운영","031-779-6594",37.3882,127.122
"2020년 09월 08일 13시","○","경기","성남시","성남시수정구보건소","경기 성남시 수정구 신흥동 3435 수정구보건소 218","09:00 ~ 16:00","09:00 ~ 12:00","09:00 ~ 12:00","031-729-3870",37.4443,127.144
"2020년 09월 08일 13시","○","경기","성남시","성남시의료원","성남시 수정구 수정로 171번길 10","09:00 ~ 16:30","미운영","미운영","031-738-7000",37.4449,127.139
"2020년 09월 08일 13시","○","경기","성남시","순천의료재단 정병원","수정구 수정로 76","09:00 ~ 17:30","09:00 ~ 12:00","미운영","031-757-8900",37.4398,127.129
"2020년 09월 08일 13시","○","경기","수원시","수원시권선구보건소","경기도 수원시 권선구 탑동 910","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","031-228-6717",37.2587,126.971
"2020년 09월 08일 13시","○","경기","시흥시","시흥시보건소","경기 시흥시 대야동 484-3 (호현로55)","09:00 ~ 18:00","미운영","09:00 ~ 13:00","031-310-6815(~8)",37.4456,126.785
"2020년 09월 08일 13시","○","경기","시흥시","시흥시화병원","시흥시 옥구천서로 337","09:00 ~ 24:00","09:00 ~ 24:00","09:00 ~ 24:00","031-8041-5802",37.3529,126.725
"2020년 09월 08일 13시","○","경기","시흥시","신천연합병원","시흥시 복지로 57","08:30 ~ 17:30","미운영","미운영","031-310-6527",37.4446,126.79
"2020년 09월 08일 13시","○","경기","시흥시","센트럴병원","시흥시 공단1대로 237","09:00 ~ 17:00","09:00 ~ 24:00","미운영","031-8041-3752(3968)",37.3367,126.728
"2020년 09월 08일 13시","○","경기","시흥시","정왕보건지소","시흥시 정왕대로233번길 19","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","031-310-5901",37.3468,126.74
"2020년 09월 08일 13시","○","경기","안산시","안산시단원보건소","경기 안산시 단원구 초지동 666-8 안산시 단원보건소","09:30 ~ 17:00","14:00 ~ 17:00","미운영","031-481-6363",37.3193,126.812
"2020년 09월 08일 13시","○","경기","안산시 단원구","고려대학교안산병원","경기도 안산시 단원구 적금로 123","09:00 ~ 16:30","미운영","미운영","031-412-5400",37.3191,126.825
"2020년 09월 08일 13시","○","경기","안산시","안산시상록수보건소","경기 안산시 상록구 사1동  1584","09:00 ~ 17:00","13:30 ~ 17:00","미운영","031-481-5894",37.301,126.845
"2020년 09월 08일 13시","○","경기","안산시","근로복지공단안산병원","안산시 상록구 상록구 구룡로 87","08:30 ~ 17:30","08:30 ~ 12:30","미운영","031-500-1770",37.3166,126.874
"2020년 09월 08일 13시","○","경기","안성시","안성시보건소","경기 안성시 도기동  67-21","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-678-6811",37.0001,127.27
"2020년 09월 08일 13시","○","경기","안성시","경기도의료원 안성병원","경기도 안성시 남파로 95(당왕동)","09:00 ~ 18:00","미운영","미운영","031-8046-5000",37.0172,127.26
"2020년 09월 08일 13시","○","경기","안성시","안성성모병원","안성시 시장길 58(서인동)","00:00 ~ 00:00","00:00 ~ 00:00","00:00 ~ 00:00","031-675-6007",37.0062,127.271
"2020년 09월 08일 13시","○","경기","안양시","안양시 동안구보건소","경기 안양시 동안구 비산동 1111번지","09:00 ~ 12:00","미운영","09:00 ~ 12:00","031-8045-4490",37.3925,126.952
"2020년 09월 08일 13시","○","경기","안양시","한림대학교성심병원","안양시 동안구 관평로 170번길11","08:30 ~ 16:30","08:30 ~ 12:00","미운영","031-380-4088(5975)",37.3925,126.961
"2020년 09월 08일 13시","○","경기","양주시","양주시보건소","경기 양주시 남방동(양주1동) 1-1 양주시보건소_양주시의회_양주시청 양주시보건소","09:00 ~ 17:00","09:00 ~ 12:00","미운영","031-8082-7120",37.7856,127.047
"2020년 09월 08일 13시","○","경기","양평군","양평군보건소","경기 양평군 양평읍 양근리 마유산로 17번지","09:00 ~ 18:00","09:00 ~ 18:00","미운영","031-770-3490",37.497,127.487
"2020년 09월 08일 13시","○","경기","양평군","양평병원","경기도 양평군 양평읍 중앙로 129","09:00 ~ 18:00","미운영","미운영","031-770-5119",37.494,127.503
"2020년 09월 08일 13시","○","경기","여주시","여주시보건소","경기 여주시 상동 358-3 여주시보건소","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-887-3598",37.2946,127.64
"2020년 09월 08일 13시","X","경기","여주시","세종여주병원","경기도 여주시 청심로 39","09:00 ~ 18:00","09:00 ~ 13:00","미운영","031-880-7700",37.3014,127.625
"2020년 09월 08일 13시","○","경기","오산시","오산시보건소","경기도 오산시 오산동 25","09:00 ~ 18:00","09:00 ~ 12:00","미운영","031-8036-6025",37.1596,127.078
"2020년 09월 08일 13시","○","경기","오산시","오산한국병원","오산시 밀머리로1번길 16","09:00 ~ 18:00","09:00 ~ 13:00","미운영","031-379-8300",37.1413,127.076
"2020년 09월 08일 13시","○","경기","부천시","부천시보건소","경기 부천시 중동(중2동) 1119 부천시보건소","09:30 ~ 17:30","09:30 ~ 17:30","미운영","032-625-8881(~4)",37.4942,126.781
"2020년 09월 08일 13시","○","경기","부천시","순천향대학교부속부천병원","경기도 부천시 조마루로 17","09:00 ~ 17:00","09:00 ~ 12:00","미운영","032-621-5114",37.4845,126.788
"2020년 09월 08일 13시","○","경기","부천시","가톨릭대학교부천성모병원","경기도 부천시 소사로 327","09:00 ~ 17:00","09:00 ~ 12:00","미운영","032-340-2402",37.4861,126.792
"2020년 09월 08일 13시","○","경기","부천시","부천세종병원","경기도 부천시 호현로 489번길 28","09:00 ~ 17:00","09:00 ~ 12:00","미운영","032-340-1897",37.4811,126.791
"2020년 09월 08일 13시","○","경기","의왕시","의왕시보건소","경기 의왕시 오봉로 34","09:00 ~ 18:00","09:00 ~ 12:00","09:00 ~ 12:00","031-345-3541",37.3437,126.972
"2020년 09월 08일 13시","○","경기","의왕시","아가페의료재단 시티병원","의왕시 오전천로 29","10:00 ~ 12:00","10:00 ~ 12:00","미운영","031-340-2555",37.3502,126.977
"2020년 09월 08일 13시","○","경기","의정부시","의정부시보건소","경기 의정부시 범골로131 의정부시보건소 ","15:00 ~ 17:00","미운영","미운영","031-870-6094",37.7362,127.04
"2020년 09월 08일 13시","○","경기","의정부시","경기도의료원의정부병원(응급실)","의정부시 흥선로 142","09:00 ~ 17:00","미운영","미운영","031-828-5143",37.741,127.043
"2020년 09월 08일 13시","○","경기","의정부시","가톨릭대학교 의정부 성모병원 ","의정부시 천보로 271","09:00 ~ 16:30","미운영","미운영","1661-7500",37.7584,127.077
"2020년 09월 08일 13시","○","경기","의정부시","추병원","경기도 의정부시 평화로 650","09:30 ~ 17:00","09:30 ~ 12:30","미운영","031-823-8063",37.75,127.045
"2020년 09월 08일 13시","○","경기","의정부시","의정부백병원","경기도 의정부시 금신로  322","08:30 ~ 16:30","08:30 ~ 11:30","미운영","031-842-1211",37.7452,127.062
"2020년 09월 08일 13시","○","경기","이천시","이천시보건소","경기 이천시 증포동 152-2","09:00 ~ 17:00","09:00 ~ 17:00","미운영","031-644-4011",37.289,127.452
"2020년 09월 08일 13시","○","경기","이천시","경기도의료원이천병원","경기도 이천시 경충대로 2742","08:30 ~ 17:30","미운영","미운영","031-630-4200",37.2826,127.433
"2020년 09월 08일 13시","○","경기","고양시","일산서구보건소","경기 고양시 일산서구 일산동 일중로 54","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 12:00","031-8075-4212",37.6844,126.776
"2020년 09월 08일 13시","○","경기","고양시","인제대학교일산백병원","경기 고양시 일산서구 주화로 170","09:00 ~ 17:00","미운영","미운영","031-910-7114",37.6742,126.75
"2020년 09월 08일 13시","○","경기","수원시","장안구보건소","경기 수원시 장안구 조원동 888번지","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","031-228-5717",37.3032,127.01
"2020년 09월 08일 13시","○","경기","수원시","경기도의료원 수원병원","수원시 장안구 수성로245번길 69","10:00 ~ 16:30","10:00 ~ 16:30","10:00 ~ 16:30","031-888-0190",37.292,126.997
"2020년 09월 08일 13시","○","경기","성남시","성남시중원구보건소","경기 성남시 중원구 상대원1동 269-10","09:00 ~ 18:00","13:30 ~ 16:30","11:00 ~ 15:00","031-729-3922",37.4419,127.171
"2020년 09월 08일 13시","○","경기","성남시","성남중앙병원","중원구 산성대로 476번길 12","09:00 ~ 17:00","09:00 ~ 12:00","미운영","031-799-5366",37.4527,127.162
"2020년 09월 08일 13시","○","경기","처인구","처인구보건소","경기 용인시 처인구 삼가동 556","09:00 ~ 17:00","09:00 ~ 17:00","09:00 ~ 17:00","031-324-4981",37.2406,127.177
"2020년 09월 08일 13시","○","경기","용인시","영문의료재단 다보스병원","처인구 백옥대로 1082번길 18","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","031-8021-2130",37.2315,127.211
"2020년 09월 08일 13시","○","경기","용인시","용인서울병원","경기도 용인시 처인구 고림로 81 ","08:00 ~ 20:00","08:00 ~ 20:00","08:00 ~ 20:00","031-322-0001",37.2403,127.215
"2020년 09월 08일 13시","○","경기","파주시","파주시보건소","경기 파주시 금촌동(금촌1동) 953-1 파주시보건소 ","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-940-9761",37.7563,126.774
"2020년 09월 08일 13시","○","경기","파주시","경기도의료원 파주병원","경기도 파주시 중앙로 207","09:00 ~ 18:00","미운영","미운영","031-940-9100",37.7546,126.78
"2020년 09월 08일 13시","○","경기","파주시","메디인병원","경기도 파주시 시청로 6","09:00 ~ 18:00","09:00 ~ 13:00","미운영","031-943-1191",37.758,126.775
"2020년 09월 08일 13시","○","경기","수원시","팔달구보건소","경기 수원시 팔달구 교동 56-1번지","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","031-228-7716",37.2714,127.012
"2020년 09월 08일 13시","○","경기","수원시","성빈센트 병원","경기도 수원시 팔달구 중부대로 93 (지동)","09:00 ~ 17:00","미운영","미운영","1577-8588",37.2784,127.028
"2020년 09월 08일 13시","○","경기","수원시","동수원 병원","경기도 수원시 팔달구 중부대로 165 (우만동)","09:00 ~ 17:00","미운영","미운영","031-210-0114",37.2784,127.034
"2020년 09월 08일 13시","○","경기","평택시","평택시평택보건소","경기 평택시 비전동 850(평택5로 56)","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-8024-5559",36.9908,127.112
"2020년 09월 08일 13시","○","경기","평택시","의료법인 백송의료재단 굿모닝병원","경기도 평택시 중앙로 338","08:30 ~ 17:30","08:30 ~ 13:00","미운영","031-5182-7582",36.9906,127.121
"2020년 09월 08일 13시","○","경기","평택시","의료법인 박애의료재단 박애병원","경기도 평택시 평택2로20번길 3 ","08:30 ~ 17:30","08:30 ~ 13:00","미운영"," 031-650-9219",36.993,127.089
"2020년 09월 08일 13시","○","경기","평택시","의료법인 양진의료재단 평택성모병원","경기도 평택시 평택로 284","08:30 ~ 17:00","08:30 ~ 12:50","미운영","070-5012-3549",36.9994,127.08
"2020년 09월 08일 13시","○","경기","포천시","포천시보건소","경기 포천시 신읍동 164-3 (포천시보건소)","08:00 ~ 20:00","08:00 ~ 20:00","08:00 ~ 20:00","031-538-4484",37.9008,127.201
"2020년 09월 08일 13시","○","경기","포천시","경기도의료원 포천병원","경기도 포천시 포천로 1648","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","031-539-9119",37.9032,127.198
"2020년 09월 08일 13시","○","경기","포천시","소흘보건지소","경기도 포천시 소흘읍 호국로 567","09:00 ~ 18:00","미운영","미운영","031-538-4486",37.8234,127.139
"2020년 09월 08일 13시","○","경기","하남시","하남시보건소","경기도 하남시 신장2동 520","09:00 ~ 18:00","09:00 ~ 12:00","미운영","031-790-6555",37.5391,127.215
"2020년 09월 08일 13시","○","경기","화성시","화성시보건소","경기 화성시 동탄산단7길 60","09:00 ~ 17:00","09:00 ~ 17:00","09:00 ~ 17:00","031-5189-1200",37.177,127.092
"2020년 09월 08일 13시","○","경기","화성시","원광종합병원","경기 화성시 화산북로 21 ","09:00 ~ 18:00","09:00 ~ 13:00","미운영","031-8077-7219",37.2099,127.008
"2020년 09월 08일 13시","○","경기","화성시","화성중앙종합병원","경기 화성시 향남읍 발안로 5","09:00 ~ 18:00","09:00 ~ 13:00","미운영","031-371-8080",37.1313,126.911
"2020년 09월 08일 13시","○","경기","화성시","한림대학교동탄성심병원","경기 화성시 큰재봉길 7","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","031-8086-3612(3615)",37.2167,127.08
"2020년 09월 08일 13시","○","경기","화성시","남양디에스병원","경기도 화성시 남양읍 시청로160번길 46-13","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","1600-5982",37.1992,126.826
"2020년 09월 08일 13시","○","경기","수원시","영통구보건소","경기 수원시 영통구 영통동 영통로 396","09:00 ~ 18:00","09:00 ~ 13:00","09:00 ~ 13:00","031-228-8785",37.2504,127.065
"2020년 09월 08일 13시","○","경기","수원시","아주대학교병원","수원시 영통구 월드컵로164","00:00 ~ 00:00","00:00 ~ 00:00","00:00 ~ 00:00","031-1688-6114",37.2795,127.048
"2020년 09월 08일 13시","○","경기","평택시","평택시송탄보건소","경기 평택시 서정동 산 12(서정로 295)","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","031-8024-7236",37.0762,127.039
"2020년 09월 08일 13시","○","경기","평택시","박병원","평택시 송탄로 33","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","031-666-2600",37.0482,127.057
